ID,Time,lat,lon,alt_AGL_ft,speed_kts,heading_deg,dh_fpm,alt_MSL_ft
253,204,42.2331791859915,-71.4948448702677,6186.89109017033,130.0000326174605,-174.777969780887,-339.812549852544,6558.95718762279
253,205,42.233423323044,-71.494105692992,6175.95958474221,130.0000326174605,-174.777969780887,-731.0234369718171,6548.15599896386
253,206,42.233667339191,-71.4933668689321,6162.7727830744,130.0000326174605,-174.777969780887,-731.0234369718171,6535.1675597094
253,207,42.2339113508721,-71.4926280382648,6149.52020665068,130.0000326174605,-174.777969780887,-731.0234369718171,6522.18141028658
253,208,42.2341553580872,-71.4918892009904,6136.20185641768,130.0000326174605,-174.777969780887,-799.8380869549833,6509.19755068421
253,209,42.2343989621238,-71.4911515810868,6117.8213728534,130.0000326174605,-174.777969780887,-1055.7718019253493,6491.21896276623
253,210,42.2346426623432,-71.4904136463916,6100.41622180694,130.0000326174605,-174.777969780887,-955.195915708385,6474.28374190629
253,211,42.2348863775613,-71.4896756454601,6083.16604205952,130.0000326174605,-174.777969780887,-955.195915708385,6457.57142895833
253,212,42.2351300884107,-71.488937637673,6065.85024331618,130.0000326174605,-174.777969780887,-955.195915708385,6440.86140055954
253,213,42.2353737948912,-71.4881996230307,6048.46882647029,130.0000326174605,-174.777969780887,-886.4334788914286,6424.15365672112
253,214,42.2356176018289,-71.4874612797451,6032.39641358912,130.0000326174605,-174.777969780887,-876.3287092326196,6408.74548445642
253,215,42.2358614056728,-71.4867229256678,6017.99152496398,130.0000326174605,-174.777969780887,-876.3287092326196,6393.35642808303
253,216,42.2361052051127,-71.4859845648228,6004.11629191633,130.0000326174605,-174.777969780887,-876.3287092326196,6377.96965829283
253,217,42.2363490001484,-71.4852461972102,5990.77070742335,130.0000326174605,-174.777969780887,-876.3287092326196,6362.58517510071
253,218,42.2365927907797,-71.4845078228301,5977.95476443545,130.0000326174605,-174.777969780887,-876.3287092326196,6347.20297849551
253,219,42.2368365770065,-71.4837694416827,5965.66845593533,130.0000326174605,-174.777969780887,-876.3287092326196,6331.82306849957
253,220,42.2370803588287,-71.4830310537681,5953.91177487491,130.0000326174605,-174.777969780887,-876.3287092326196,6316.44544510543
253,221,42.2373241362461,-71.4822926590866,5942.68471421974,130.0000326174605,-174.777969780887,-876.3287092326196,6301.07010832056
253,222,42.2375679092586,-71.4815542576381,5931.8514722,130.0000326174605,-174.777969780887,-876.3287092326196,6285.69705815613
253,223,42.2378116778659,-71.480815849423,5920.32633678342,130.0000326174605,-174.777969780887,-876.3287092326196,6270.32629461214
253,224,42.238055442068,-71.4800774344413,5907.97018431131,130.0000326174605,-174.777969780887,-876.3287092326196,6254.95781768858
253,225,42.2382992018647,-71.4793390126932,5894.7830259349,130.0000326174605,-174.777969780887,-876.3287092326196,6239.59162740037
253,226,42.2385429572559,-71.4786005841788,5879.93250171482,130.0000326174605,-174.777969780887,-876.3287092326196,6224.22772374749
253,227,42.2387867082414,-71.4778621488984,5865.46977829563,130.0000326174605,-174.777969780887,-876.2574529828905,6208.86610672995
253,228,42.2390304549127,-71.4771237065704,5851.84395278332,130.0000326174605,-174.777969780887,-932.292416587152,6193.50796313584
253,229,42.2392741228934,-71.4763854856517,5838.11952483313,130.0000326174605,-174.777969780887,-932.2714844597944,6177.21873058751
253,230,42.2395177864954,-71.4756472578968,5825.23030795003,130.0000326174605,-174.777969780887,-932.2714844597944,6160.93181814626
253,231,42.2397614457156,-71.4749090233146,5813.17625634316,130.0000326174605,-174.777969780887,-1001.0166750567918,6144.64719095826
253,232,42.240004769806,-71.4741717960808,5798.34960144284,130.0000326174605,-174.777969780887,-1182.0374777728707,6124.76461806893
253,233,42.2402480350117,-71.4734347290965,5783.79301113637,130.0000326174605,-174.777969780887,-1182.0374777728707,6104.32295154408
253,234,42.2404912959469,-71.4726976550124,5770.0689015773,130.0000326174605,-174.777969780887,-1182.0374777728707,6083.88356299698
253,235,42.2407345526113,-71.4719605738289,5757.17726290081,130.0000326174605,-174.777969780887,-1182.0374777728707,6063.44645243138
253,236,42.2409778050047,-71.4712234855461,5745.11808524019,130.0000326174605,-174.777969780887,-1182.0374777728707,6043.01161985099
253,237,42.2412210531271,-71.470486390164,5732.47318753268,130.0000326174605,-174.777969780887,-1113.3686645330574,6022.57906527445
253,238,42.24146459306,-71.4697483799758,5721.24003660246,130.0000326174605,-174.777969780887,-972.8777941703438,6005.27499911562
253,239,42.2417081610167,-71.4690102635683,5709.89319325832,130.0000326174605,-174.777969780887,-972.8777941703438,5988.33202707395
253,240,42.2419517246083,-71.46827214029,5698.073007429,130.0000326174605,-174.777969780887,-1041.6070036323038,5971.39133925736
253,241,42.2421950229396,-71.4675348102284,5682.9637543297,130.0000326174605,-174.777969780887,-1157.984353947309,5951.64197108895
253,242,42.2424382904824,-71.4667975543367,5667.10845909,130.0000326174605,-174.777969780887,-1089.3046331190365,5931.62158165872
253,243,42.2426819312769,-71.466059132948,5655.02673681432,130.0000326174605,-174.777969780887,-868.680353795586,5915.84382610768
253,244,42.2429256177657,-71.4653205510051,5643.05229969039,130.0000326174605,-174.777969780887,-868.6666434825795,5900.64869280159
253,245,42.2431692998446,-71.464581962302,5630.60402386576,130.0000326174605,-174.777969780887,-868.6666434825795,5885.45586924255
253,246,42.2434129775115,-71.4638433668441,5617.68189289285,130.0000326174605,-174.777969780887,-868.9423748795928,5870.26533260942
253,247,42.2436566504158,-71.4631047657096,5604.28131807399,130.0000326174605,-174.777969780887,-868.9422626035212,5855.07249008492
253,248,42.2439003189081,-71.4623661578203,5590.09969343353,130.0000326174605,-174.777969780887,-868.6784584162067,5839.88193466514
253,249,42.2441439833232,-71.4616275421457,5574.5727137435,130.0000326174605,-174.777969780887,-868.6786461929707,5824.69805914536
253,250,42.2443876433259,-71.460888919717,5559.43915757185,130.0000326174605,-174.777969780887,-868.6786461929707,5809.51647025347
253,251,42.2446312989158,-71.4601502905343,5544.69901998301,130.0000326174605,-174.777969780887,-868.6786461929707,5794.33716831356
253,252,42.244874950093,-71.4594116545977,5530.35229571637,130.0000326174605,-174.777969780887,-868.6786461929707,5779.16015332565
253,253,42.2451185968572,-71.4586730119075,5516.39897951801,130.0000326174605,-174.777969780887,-937.4475370397881,5763.98542529717
253,254,42.2453619843925,-71.4579351451044,5499.81673164625,130.0000326174605,-174.777969780887,-1069.4751181021334,5745.79255925119
253,255,42.2456053387493,-71.4571973598912,5483.30140773912,130.0000326174605,-174.777969780887,-1000.7572637624176,5727.27659153938
253,256,42.2458490905366,-71.456458332403,5472.33466933542,130.0000326174605,-174.777969780887,-657.9141481600525,5713.91036583483
253,257,42.2460929558052,-71.4557189349678,5463.28252505253,130.0000326174605,-174.777969780887,-657.9141481600525,5702.25686608627
253,258,42.2463368165689,-71.4549795310152,5454.14748440707,130.0000326174605,-174.777969780887,-657.9141481600525,5690.60565781966
253,259,42.2465806728277,-71.4542401205455,5444.92954862868,130.0000326174605,-174.777969780887,-657.9141481600525,5678.95674103126
253,260,42.2468245245814,-71.4535007035588,5426.91983726666,130.0000326174605,-174.777969780887,-690.777507843309,5667.3101157397
253,261,42.2470683392027,-71.4527613808207,5407.56310488116,130.0000326174605,-174.777969780887,-690.7562253993339,5655.11846805364
253,262,42.2473121493348,-71.4520220515222,5388.37893202957,130.0000326174605,-174.777969780887,-621.9106843803085,5642.92914667726
253,263,42.2475561220233,-71.4512821984448,5372.55173071728,130.0000326174605,-174.777969780887,-476.3796834282255,5633.93129660562
